"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: param"
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.004688,0.000128,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.006238,0.000286,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.039655,0.000645,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.batchExecutorUpdate","avgt",1,10,0.374323,0.005651,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.000166,0.000001,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.004188,0.000290,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,0.023714,0.000198,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.caseWhenUpdate","avgt",1,10,1.589254,0.021655,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.000585,0.000010,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.005754,0.000080,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.057616,0.000568,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachUpdate","avgt",1,10,0.574750,0.009664,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.000224,0.000001,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.003482,0.000384,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.018888,0.000105,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.foreachXmlUpdate","avgt",1,10,0.195734,0.001839,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.000702,0.000069,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.005062,0.000372,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.059653,0.002726,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.jpaUpdate","avgt",1,10,0.625653,0.021348,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.000498,0.000005,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.003983,0.000042,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.038434,0.000189,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.myBatisPlusUpdate","avgt",1,10,0.387009,0.001956,"s/op",10000
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.000088,0.000001,"s/op",10
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.000314,0.000005,"s/op",100
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.007750,0.000854,"s/op",1000
"com.wei.orm.SimpleBatchUpdateBenchmark.singleFieldUpdate","avgt",1,10,0.024077,0.000106,"s/op",10000
